sentence,label
a study in schoolgirl obsession,0
a poignant comedy that offers food for,1
star script,1
makes the material seem genuine rather than pandering,1
comes up with a kind of art-house gay porn film,0
the movie dawdle in classic disaffected-indie-film mode,0
of dazzling entertainment,1
", manipulative",0
's hardly over before it begins to fade from memory,0
veracity,1
plays like a 95-minute commercial for nba properties,0
", meditative",1
"unlikable , uninteresting , unfunny",0
promises is a compelling piece that demonstrates just how well children can be trained to live out and carry on their parents ' anguish .,1
to the floor with a sickening thud,0
"the brutality of the jokes , most at women 's expense",0
"it 's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .",1
surrealistic,1
ample,1
defiantly and delightfully against the grain,1
despite playing out like a feature-length sitcom replete with stereotypical familial quandaries,0
starting,1
there 's no emotional pulse to solaris .,0
is an odd but ultimately satisfying blend of the sophomoric and the sublime,1
far superior,1
"though unfortunately all the story gives us is flashing red lights , a rattling noise , and a bump on the head",0
everything about it from the bland songs to the colorful but flat drawings is completely serviceable and quickly forgettable .,0
to see three splendid actors,1
"terrific performances , great to look at , and funny .",1
but because of the startling intimacy,1
an addictive guilty pleasure,1
sweet and,1
were insulted,1
often touching,1
who makes martha enormously endearing,1
a portrait of hell so shattering it 's impossible to shake .,1
spectacle and,0
longley 's film,1
", ice age is consistently amusing and engrossing ...",1
nothing going for it other than its exploitive array of obligatory cheap,0
"an undeniably moving film to experience , and",1
tastelessness and,0
is an all-time low for kevin costner,0
so aggressively cheery,0
an avid interest in the subject,1
mean-spirited and,0
"is one of mr. chabrol 's subtlest works , but also one of his most uncanny",1
nosedive,0
tonally uneven,0
"inconsistent , meandering , and sometimes dry plot",0
"to its insanely staged ballroom scene , in which 3000 actors appear in full regalia",1
pungent bite,1
"that it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world",1
now it is a copy of a copy of a copy,0
"a been-there , done-that sameness",0
they grow up and you can wait till then,0
"surprising highs , sorrowful lows and hidden impulsive niches ... gorgeous , passionate , and at times uncommonly moving",1
greatest,1
is particularly impressive .,1
a solid and refined piece,1
is a perfect family film to take everyone to since there 's no new `` a christmas carol '' out in the theaters this year .,1
blood work is for you .,1
detailing how one international city welcomed tens of thousands of german jewish refugees while the world 's democracie,1
to construct a story with even a trace of dramatic interest,0
"not morally bankrupt , at least terribly monotonous",0
congratulate himself for having the guts to confront it,1
ca n't be dismissed as mindless,1
go down in the annals of cinema as one of the great submarine stories,1
his way to becoming the american indian spike lee,1
"a big , loud , bang-the-drum bore .",0
enhances the quality of neil burger 's impressive fake documentary,1
confident,1
may marginally enjoy the film,1
has never been more charming than in about a boy,1
with big heart,1
shoot something on crummy-looking videotape,0
"in dazzling panoramic shots that make the most of the large-screen format , before swooping down on a string of exotic locales , scooping the whole world up in a joyous communal festival of rhythm",1
aggressive self-glorification and a manipulative whitewash,0
at once overly old-fashioned in its sudsy plotting,0
fill time,0
the positives,1
do you,1
'll need a stronger stomach than us,0
"a compelling yarn , but not quite a ripping one",1
phony humility barely camouflaging grotesque narcissism,0
catches the chaotic horror,1
schizo cartoon,0
"fun ,",1
shtick,0
rashomon-for-dipsticks,0
an enthralling,1
heated sexuality,1
the lousy john q,0
essentially a collection of bits --,0
clever ideas,1
a brutal 90-minute battle sequence,1
silly rather than plausible,0
an imaginative teacher,1
of exploitative garbage,0
is hard to resist,1
"with a mixture of deadpan cool , wry humor and just the measure",1
virtuoso,1
let the earnestness of its execution and skill of its cast take you down a familiar road with a few twists,1
an average b-movie,0
's mildly interesting,1
delicious crime drama,1
profane and exploitative as the most offensive action flick you 've ever seen .,0
is oppressively heavy,0
almost seems like a documentary in the way,1
pairing clayburgh and tambor,1
court maneuvers,1
the show 's concept,1
"instead of contriving a climactic hero 's death for the beloved-major - character-who-shall - remain-nameless , why not invite some genuine spontaneity into the film by having the evil aliens ' laser guns actually hit something for once ?",0
because there is no earthly reason other than money why this distinguished actor would stoop so low,0
true-blue delight .,1
"once one experiences mr. haneke 's own sadistic tendencies toward his audience , one is left with a sour taste in one 's mouth , and little else .",0
"one of these days hollywood will come up with an original idea for a teen movie ,",0
the delusions,0
makes a better short story than it does a film,0
when you instantly know whodunit,0
fused with their humor,1
slow-moving,0
i liked it just enough .,1
is well worthwhile,1
"'s lovely and amazing , from her own screenplay , jumps to the head of the class of women 's films that manage to avoid the ghetto of sentimental chick-flicks by treating female follies with a satirical style",1
never achieve the popularity of my big fat greek wedding,0
yellow asphalt is an uncompromising film .,1
of holes and completely lacking in chills,0
"the movie is so contrived , nonsensical and formulaic that , come to think of it , the day-old shelf would be a more appropriate location to store it .",0
genial,1
"a pointless , meandering celebration of the goth-vampire , tortured woe-is-me lifestyle",0
to please its intended audience -- children -- without placing their parents in a coma-like state .,1
rather toothless take,0
characteristically engorged,1
on all cylinders,1
"a bland , surfacey way that does n't offer any insight into why , for instance , good things happen to bad people",0
"this sad , occasionally horrifying but often inspiring film is among wiseman 's warmest .",1
"we started to wonder if ... some unpaid intern had just typed ` chris rock , ' ` anthony hopkins ' and ` terrorists ' into some univac-like script machine",0
ruined by amateurish,0
"look at female friendship , spiked with raw urban humor .",1
saddest,0
received such a sophisticated and unsentimental treatment on the big screen,1
an impressive roster of stars and direction from kathryn bigelow,1
is a copy of a copy of a copy,0
a gorgeously atmospheric meditation on life-changing chance encounters,1
that do n't really care for the candidate,0
"the film occasionally tries the viewer 's patience with slow pacing and a main character who sometimes defies sympathy , but it ultimately satisfies with its moving story",1
do we really need another film that praises female self-sacrifice ?,0
a spiritual aspect,1
completely awful,0
to pity the ` plain ' girl who becomes a ravishing waif after applying a smear of lip-gloss,0
"kwan is a master of shadow , quietude , and room noise , and lan yu is a disarmingly lived-in movie .",1
strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama,1
", that would be me : fighting off the urge to doze .",0
"some of the characters die and others do n't , and the film pretends that those living have learned some sort of lesson , and , really , nobody in the viewing audience cares",0
revelatory and,1
less-than-thrilling,0
impossibly long limbs and sweetly conspiratorial,1
most ardent,1
it sucked .,0
enjoyed the thrill of the chill,1
"and if you appreciate the one-sided theme to lawrence 's over-indulgent tirade , then knock yourself out and enjoy the big screen postcard that is a self-glorified martin lawrence lovefest .",0
( fincher 's ) camera sense and assured pacing make it an above-average thriller .,1
come from an animated-movie screenwriting textbook,0
shooting blanks,0
marvelous series,1
one carried by a strong sense of humanism,1
's certainly an honest attempt to get at something,1
well-characterized,1
come to care about the main characters,1
power-lunchers,1
a wretched movie,0
that 's there to scare while we delight in the images,1
"systematically destroy everything we hold dear about cinema , only now it 's begun to split up so that it can do even more damage",0
... again shows uncanny skill in getting under the skin of her characters,1
a frightful vanity film,0
want to watch,1
"mckay seems embarrassed by his own invention and tries to rush through the intermediary passages , apparently hoping that the audience will not notice the glaring triteness of the plot device",0
turns me into that annoying specimen of humanity that i usually dread encountering the most,0
"tense , terrific , sweaty-palmed fun",1
steers refreshingly clear of the usual cliches .,1
"this is lightweight filmmaking , to be sure , but it 's pleasant enough -- and oozing with attractive men",1
rambles aimlessly,0
the second coming of harry potter is a film far superior to its predecessor .,1
a heroic tale,1
... the kind of movie you see because the theater has air conditioning .,0
's good-natured and sometimes quite funny,1
incoherence and sub-sophomoric,0
"but believe it or not , it 's one of the most beautiful , evocative works i 've seen .",1
goes downhill .,0
at least three films,1
cranked out on an assembly line,0
leaving you with some laughs and a smile on your face,1
that works,1
"attal 's hang-ups surrounding infidelity are so old-fashioned and , dare i say",1
"destroy everything we hold dear about cinema , only now it 's begun to split up so that it can do even more damage",0
a lack,0
this is downright movie penance,0
some of the magic we saw in glitter here in wisegirls,1
"a lot like a well-made pb & j sandwich : familiar , fairly uneventful and boasting no real surprises -- but still quite tasty and inviting all the same",1
creates a fluid and mesmerizing sequence of images,1
an instantly forgettable snow-and-stuntwork extravaganza that likely will be upstaged by an avalanche of more appealing holiday-season product .,0
"is a much better mother-daughter tale than last summer 's ` divine secrets of the ya-ya sisterhood , ' but that 's not saying much",0
that the final product is a ghost,0
basically the sort of cautionary tale that was old when ` angels with dirty faces ' appeared in 1938,0
most of jaglom 's self-conscious and gratingly irritating films,0
can seem tiresomely simpleminded,0
makes little attempt to give voice to the other side,0
enough innovation or pizazz,1
it succeeds,1
the concept is a hoot .,1
a winning and wildly fascinating work,1
of their first full flush of testosterone,0
will keep coming,1
poetic force,1
does n't have a passion for the material,0
"from philippe , who makes oliver far more interesting than the character 's lines would suggest , and sarandon , who could n't be better as a cruel but weirdly likable wasp matron",1
less than,0
clunky tv-movie approach,0
dumbed-down tactics,0
"if the film has a problem , its shortness disappoints :",0
congrats disney,1
"the lion king redone for horses , with fewer deliberate laughs , more inadvertent ones and stunningly trite songs by bryan adams , the world 's most generic rock star",0
rare depth,1
what a bewilderingly brilliant and entertaining movie this is .,1
a film that are still looking for a common through-line,0
ridicule factor,0
are served with a hack script,0
paul bettany is good at being the ultra-violent gangster wannabe,1
which becomes something about how lame it is to try and evade your responsibilities,0
what a pity,0
funny and fun,1
"will revel in those visual in-jokes , as in the film 's verbal pokes at everything from the likes of miramax chief harvey weinstein 's bluff personal style to the stylistic rigors of denmark 's dogma movement",1
allows each character to confront their problems openly and honestly .,1
coordinated his own dv poetry,1
was so uninspiring,0
take center screen,1
are beautiful,1
all arty and jazzy,1
"should be doing a lot of things , but does n't",0
i could just skip it,0
"limps along on a squirm-inducing fish-out-of-water formula that goes nowhere and goes there very , very slowly",0
drag it down to mediocrity --,0
halle berry does her best to keep up with him,1
elling builds gradually until you feel fully embraced by this gentle comedy .,1
charming but slight comedy,1
with a subtlety that is an object lesson in period filmmaking,1
this is one of the outstanding thrillers of recent years .,1
discomfort,0
angry and sad,0
scenes of cinematic perfection,1
broad streaks of common sense,1
"this orange has some juice , but it 's far from fresh-squeezed .",0
almost saccharine domestic interludes,1
too bad to be good and,0
is just a little bit hard to love .,0
the simpering soundtrack and editing,0
"the way that makes you ache with sadness ( the way chekhov is funny ) , profound without ever being self-important , warm without ever succumbing to sentimentality",1
"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character .",0
univac-like script machine,0
cheered at just that,1
"a film centering on a traditional indian wedding in contemporary new delhi may not sound like specialized fare , but mira nair 's film is an absolute delight for all audiences",1
ends up as a bitter pill,0
proves itself a more streamlined,1
a degree of affection rather than,1
"is as uncompromising as it is nonjudgmental , and makes clear that a prostitute can be as lonely and needy as any of the clients",1
almost as offensive,0
that made me want to scream,0
a frustrating patchwork : an uneasy marriage of louis begley 's source novel ( about schmidt ) and,0
masterfully calibrated psychological thriller,1
from any movie with a `` 2 '',0
fashioned an absorbing look,1
"be captivated ,",1
left on a remote shelf indefinitely,0
"unparalleled proportions , writer-director parker",1
oddly whimsical,1
wow fans,1
bowling you over,1
peppered with witty dialogue and inventive moments,1
genuine spontaneity,1
is so thoughtlessly assembled .,0
"plays like a badly edited , 91-minute trailer ( and ) the director ca n't seem to get a coherent rhythm going",0
a spectacular completion one,1
"really , really stupid",0
of two unrelated shorts that falls far short,0
to make the suckers out there surrender $ 9 and 93 minutes of unrecoverable life,0
this painfully unfunny farce traffics in tired stereotypes and encumbers itself with complications ... that have no bearing on the story .,0
to be bad,0
like this movie,1
as giddy and whimsical and relevant today,1
"like a badly edited , 91-minute trailer ( and )",0
settles too easily along the contours of expectation,0
parents beware ; this is downright movie penance .,0
clean-cut,1
"a way of gently swaying back and forth as it cradles its characters , veiling tension beneath otherwise tender movements",1
", hole-ridden plotting",0
bigelow demonstrates a breadth of vision and an attention to detail that propels her into the upper echelons of the directing world .,1
"a delightfully unpredictable , hilarious comedy with wonderful performances that tug at your heart in ways that utterly transcend gender labels .",1
capture the novel 's deeper intimate resonances,1
understands characters must come first,1
one-sided theme,0
"great performances , stylish cinematography",1
"smart and fun , but far more witty than it is wise .",1
strained caper movies that 's hardly any fun to watch and begins to vaporize from your memory minutes after it ends .,0
jackie chan movies are a guilty pleasure - he 's easy to like and always leaves us laughing,1
"... post-september 11 , `` the sum of all fears '' seems more tacky and reprehensible , manipulating our collective fear without bestowing the subject with the intelligence or sincerity it unequivocally deserves .",0
"of geriatric dirty harry , which will please eastwood 's loyal fans -- and suits the story , wherein our hero must ride roughshod over incompetent cops to get his man",1
a sincerely crafted picture,1
"a flat , unconvincing drama that never catches fire",0
wait for your pay per view dollar,0
than its fair share of saucy,1
pellington gives `` mothman '' an irresistibly uncanny ambience that goes a long way toward keeping the picture compelling,1
"attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing",1
uproarious humor,1
about a horrifying historical event,0
"to imagine anyone managing to steal a movie not only from charismatic rising star jake gyllenhaal but also from accomplished oscar winners susan sarandon , dustin hoffman and holly hunter , yet newcomer ellen pompeo pulls off the feat with aplomb",1
it 's a film that affirms the nourishing aspects of love and companionship .,1
to fulfill its own ambitious goals,1
"creating an emotionally complex , dramatically satisfying heroine",1
's easy to like and,1
"broomfield is energized by volletta wallace 's maternal fury , her fearlessness , and",1
is doubtful this listless feature will win him any new viewers,0
insomnia,0
unnecessary films,0
raise audience 's spirits and leave them singing long after the credits roll,1
men with guns,0
captures the debilitating grief,1
ever see one of those comedies that just seem like a bad idea from frame one ?,0
"directed , barely",0
"muscles and a lot more smarts , but just as endearing and easy to watch",1
clever,1
", or inventive",1
coma-like state,0
of bubba ho-tep 's clearly evident quality,1
brings the proper conviction,1
that 's a liability .,0
cheapo animation,0
has a spirit that can not be denied,1
saw the film,1
its hackneyed and meanspirited storyline,0
", the dialogue sounds like horrible poetry .",0
most sincere and artful movie,1
is a nonstop hoot,1
evil,0
that stifles creativity and allows the film to drag on for nearly three hours,0
competent,1
more confused,0
that best describes this film : honest,1
's as good as you remember .,1
reaffirms life as it looks in the face of death,1
it 's fitting that a movie as artificial and soulless as the country bears owes its genesis to an animatronic display at disneyland .,0
this kiddie-oriented stinker,0
is that the entire exercise has no real point,0
you ca n't wait to see end .,0
like a lazy summer afternoon,1
"boredom to the point of collapse , turning into a black hole of dullness",0
plays like a volatile and overlong w magazine fashion spread .,0
"quiet , decisive moments",1
becomes an exercise in trying to predict when a preordained `` big moment '' will occur and not `` if,0
cynical,0
-- and not in a good way,0
that constantly defies expectation,1
some kind of goofy grandeur,1
"feels like pieces a bunch of other , better movies slapped together .",0
an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection,0
pauly shore awful,0
are head and shoulders above much of the director 's previous popcorn work .,1
many conclusive answers in the film,1
scare the pants,1
"as good ,",1
like a medium-grade network sitcom -- mostly inoffensive,0
good,1
an overly familiar scenario,0
they just do n't work in concert .,0
you 'll regret,0
may prove too convoluted for fun-seeking summer audiences,0
steers refreshingly clear,1
slightly disappointed,0
"fun , curiously adolescent movie",1
stupidity,0
-- but certainly hard to hate .,1
"love it ... hell , i dunno .",1
a sucker,0
"of the most moronic screenplays of the year , full of holes that will be obvious even to those who are n't looking for them",0
have the slightest difficulty accepting him in the role,0
an ( emotionally at least ) adolescent audience demanding regular shocks and bouts of barely defensible sexual violence to keep it interested,0
it 's mired in a shabby script that piles layer upon layer of action man cliché atop wooden dialogue and a shifting tone that falls far short of the peculiarly moral amorality of ( woo 's ) best work .,0
"of road movie , coming-of-age story and political satire",1
"to others , it will remind them that hong kong action cinema is still alive and kicking .",1
skip this turd and pick your nose instead because you 're sure to get more out of the latter experience,0
low-tech magic realism,0
"passable entertainment , but it 's the kind of motion picture that wo n't make much of a splash when it 's released , and will not be remembered long afterwards .",0
nicholas nickleby '' is a perfect family film to take everyone to since there 's no new `` a christmas carol '' out in the theaters this year .,1
"it 's crafty , energetic and smart -- the kid is sort of like a fourteen-year old ferris bueller .",1
she 's pretty,1
"growing strange hairs , getting a more mature body",1
it 's so fascinating you wo n't be able to look away for a second .,1
( a ) mess,0
remarkable new trick,1
is classic nowheresville in every sense,0
determined to uncover the truth and hopefully inspire action,1
"wiseman is patient and uncompromising , letting his camera observe and record the lives of women torn apart by a legacy of abuse",1
it 's notably better acted -- and far less crass - than some other recent efforts in the burgeoning genre of films about black urban professionals,1
"is completely lacking in charm and charisma , and",0
it 's good-natured and sometimes quite funny,1
a valentine sealed with a kiss,1
"it all unfolds predictably ,",0
"in the feet with cop flick cliches like an oily arms dealer , squad car pile-ups and the requisite screaming captain",0
"as ledger attempts , in vain , to prove that movie-star intensity can overcome bad hair design",0
drags the film,0
that the wayward wooden one end it all by stuffing himself into an electric pencil sharpener,0
"is hilariously , gloriously alive , and quite often hotter",1
"an admirable reconstruction of terrible events , and",1
other than the very sluggish pace ),0
listless direction,0
something that is so meditative and lyrical about babak payami 's boldly quirky iranian drama secret ballot ... a charming and evoking little ditty that manages to show the gentle and humane side of middle eastern world politics,1
i 'm not sure which will take longer to heal : the welt on johnny knoxville 's stomach from a riot-control projectile or my own tortured psyche .,0
"it 's excessively quirky and a little underconfident in its delivery , but",0
"this sade is hardly a perverse , dangerous libertine and agitator -- which would have made for better drama .",0
"despite its visual virtuosity , ` naqoyqatsi ' is banal in its message and the choice of material to convey it .",0
their contrast is neither dramatic nor comic -- it 's just a weird fizzle,0
"charming , funny and beautifully",1
"is in the right place , his plea for democracy and civic action laudable",1
"sometimes there are very , very good reasons for certain movies to be sealed in a jar and left on a remote shelf indefinitely .",0
plays like an extended dialogue exercise in retard 101 .,0
its characterization of hitler and the contrived nature of its provocative conclusion,1
just a collection of this and that -- whatever fills time -- with no unified whole .,0
sappy dialogue,0
'' exceeds expectations .,1
funny with the material,1
the misconceived final 5,1
"compressed into an evanescent , seamless and sumptuous stream of consciousness .",1
"a gorgeously strange movie , heaven is deeply concerned with morality",1
and moving portrait,1
"texan director george ratliff had unlimited access to families and church meetings ,",1
goes by quickly,1
instead of simply handling conventional material in a conventional way,1
craig bartlett and director tuck tucker should be commended for illustrating the merits of fighting hard for something that really matters .,1
does n't give us a reason to be in the theater beyond wilde 's wit and the actors ' performances,0
even if the top-billed willis is not the most impressive player,1
"thirteen conversations about one thing lays out a narrative puzzle that interweaves individual stories , and , like a mobius strip , elliptically loops back to where it began .",1
none can equal,1
filter out the complexity,1
"enjoyable , if occasionally flawed , experiment",1
's not a comedic moment in this romantic comedy .,0
", reflective and beautifully",1
wears out its welcome as tryingly as the title character .,0
the world 's best actors,1
"an appalling ` ace ventura ' rip-off that somehow manages to bring together kevin pollak , former wrestler chyna and dolly parton",0
unnerving suspense,1
seems to exist only for its climactic setpiece,0
for the ones that do n't come off,1
listless and desultory affair,0
consistently sensitive and,1
"every visual joke is milked , every set-up obvious and lengthy , every punchline predictable .",0
"we 've seen it all before in one form or another , but director hoffman , with great help from kevin kline , makes us care about this latest reincarnation of the world 's greatest teacher .",1
a shiver-inducing,1
oscar-nominated documentary,1
scene-chewing,0
that can not help be entertained by the sight of someone getting away with something,1
"no charm , no laughs , no fun",0
"'s a clear-eyed portrait of an intensely lived time , filled with nervous energy , moral ambiguity and great uncertainties",1
so distant,0
"merely ( and literally ) tosses around sex toys and offers half-hearted paeans to empowerment that are repeatedly undercut by the brutality of the jokes , most at women 's expense .",0
"the film , directed by joel zwick , is heartfelt and hilarious in ways you ca n't fake .",1
is that it 's a rock-solid little genre picture .,1
happily stays close to the ground in a spare and simple manner and does n't pummel us with phony imagery or music .,1
"petter næss ' delicate , clever direction",1
"let 's see , a haunted house , a haunted ship , what 's next ... ghost blimp",0
by an imaginatively mixed cast of antic spirits,1
who perfectly portrays the desperation of a very insecure man,1
spits out denzel washington 's fine performance in the title role,1
"contrived and exploitative for the art houses and too cynical , small and decadent for the malls .",0
clever makeup design,1
fizzability,0
"aimless , arduous",0
a picaresque view,1
"wasted in this crass , low-wattage endeavor",0
with some real shocks in store for unwary viewers .,1
"is he has no character , loveable or otherwise .",0
such message-mongering moralism,0
to mention leaving you with some laughs and a smile on your face,1
outdoes its spectacle .,1
", whatever your orientation .",1
professional film,1
"a confusing melange of tones and styles , one moment a romantic trifle and the next a turgid drama",0
ego-destroying,0
is to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love,1
"the word that comes to mind , while watching eric rohmer 's tribute to a courageous scottish lady",1
is more frustrating than a modem that disconnects every 10 seconds,0
fun-for-fun 's - sake communal spirit goes to the essence of broadway,1
a thoroughly awful movie --,0
be especially grateful for freedom after a film like this,1
bilingual charmer,1
"high crimes carries almost no organic intrigue as a government / marine/legal mystery , and",0
make fun of me for liking showgirls,0
"thanks to the presence of ` the king , ' it also rocks .",1
"uncompromising , difficult and unbearably beautiful",1
p.t. anderson understands the grandness of romance and how love is the great equalizer that can calm us of our daily ills and bring out joys in our lives that we never knew were possible,1
went astray,0
the excitement,1
that its story just is n't worth telling,0
"as bad as you think ,",0
jump-in-your-seat moment,1
really a thriller,1
that the pocket monster movie franchise is nearly ready to keel over,0
of clams left in the broiling sun for a good three days,0
there 's no art here,0
stress-reducing,1
to find a film to which the adjective ` gentle ' applies,1
portrays their cartoon counterparts well ...,1
nalin,1
the leanest and meanest of solondz 's misanthropic comedies .,1
", passion , and genius",1
victim ... and an ebullient affection for industrial-model meat freezers,0
uncommonly sincere movie that portrays the frank humanity of ... emotional recovery,1
quick-cut edits that often detract from the athleticism,0
", this oscar-nominated documentary takes you there .",1
pure adrenalin,1
starts as an intense political and psychological thriller,1
to doze off for a few minutes or make several runs to the concession stand and/or restroom and not feel as if he or she has missed anything,0
every cliche,0
wondering why lee 's character did n't just go to a bank manager and save everyone the misery,1
"call it magic realism or surrealism , but miss wonton floats beyond reality with a certain degree of wit and dignity .",1
"create a film that 's not merely about kicking undead *** ,",1
are often engaging,1
obvious determination to shock at any cost,0
exploitation flick,0
high crimes is a cinematic misdemeanor,0
the tasteful little revision works,1
` fatal attraction ' for the teeny-bopper set,0
among the best films of the year,1
the world 's most fascinating stories,1
the pleasure of watching them,1
that there 's really not much of a sense of action,0
film to affirm love 's power to help people endure almost unimaginable horror,1
"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .",0
", the film suffers from a simplistic narrative and a pat , fairy-tale conclusion .",0
certain to be distasteful to children and adults alike,0
misleading,0
growing strain,1
( but none of the sheer lust ),0
a lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .,1
", find an escape clause and avoid seeing this trite , predictable rehash .",0
of isolation and frustration,0
is the film roman polanski may have been born to make,1
stop buying tickets to these movies,0
grueling,0
can be numbing,0
avarice and damaged dreams,0
"a stirring , funny",1
"there 's not a single jump-in-your-seat moment and believe it or not , jason actually takes a backseat in his own film to special effects .",0
outstanding feature debut,1
"oozing , chilling and heart-warming",1
most pleasurable expressions,1
with more emotional force than any other recent film,1
's a great performance and a reminder of dickens ' grandeur,1
ultimately life-affirming,1
understands the grandness of romance,1
fathom,0
"i think it was plato who said , ' i think , therefore i know better than to rush to the theater for this one .",0
"whatever flaws igby goes down may possess , it is undeniably that",0
"all in all , a great party .",1
", it probably wo n't have you swinging from the trees hooting it 's praises",0
"was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles :",0
like ravel 's bolero,1
"it takes you somewhere you 're not likely to have seen before , but beneath the exotic surface ( and exotic dancing ) it 's surprisingly old-fashioned .",1
welcome step,1
"of the intelligent , well-made b movie",1
the charm of kevin kline and a story that puts old-fashioned values under the microscope,1
it interesting as a character study is the fact that the story is told from paul 's perspective,1
a classic text since roland joffé and demi moore,1
"can not mount a cogent defense of the film as entertainment , or even performance art , although the movie does leave you marveling at these guys ' superhuman capacity to withstand pain",0
"unmistakable , easy",1
"written , flatly , by david kendall and directed , barely , by there 's something about mary co-writer ed decter .",0
"the film 's crisp , unaffected style and",1
just as endearing and easy,1
an eerie thriller,1
you 'll end up moved .,1
` cultural revolution,1
wondrous love story,1
"fresh , sometimes funny , and",1
victim to sloppy plotting,0
", i 'd want something a bit more complex than we were soldiers to be remembered by .",0
sometimes dry,0
big-hearted and,1
produce another smash,1
throw each other out windows,0
remains the most wondrous of all hollywood fantasies -- and the apex of steven spielberg 's misunderstood career,1
the delicious trimmings ...,1
"often watchable , though goofy and lurid ,",1
"that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop",1
this is a heartfelt story,1
try paying less attention to the miniseries and more attention to the film it is about,0
", much ado about something is an amicable endeavor .",1
a reworking of die hard and cliffhanger,0
bad acting,0
the smartest,1
a simple message,1
did n't laugh .,0
missing a beat,0
mean things,0
"pile up , undermining the movie 's reality and stifling its creator 's comic voice",0
tackles more than she can handle,0
team,1
sacrificing any of the cultural intrigue,0
"even when there are lulls , the emotions seem authentic , and the picture is so lovely toward the end ... you almost do n't notice the 129-minute running time .",1
"beautiful ,",1
is hindered by a central plot that 's peppered with false starts and populated by characters who are nearly impossible to care about,0
the action is dazzling,1
blockbusters,1
the biggest disappointments,0
"the movie contains no wit , only labored gags .",0
"the slapstick is labored ,",0
an epic four-hour indian musical about a cricket game,1
of the great crimes,0
"as an all-inclusive world where uptight , middle class bores like antonia can feel good about themselves",0
spellbinding fun and deliciously exploitative .,1
obnoxious 88-minute,0
there is enough originality in ` life ' to distance it from the pack of paint-by-number romantic comedies that so often end up on cinema screens .,1
"really , really good",1
to soothe and break your heart with a single stroke,1
fascinating character 's,1
"supposedly , pokemon ca n't be killed , but pokemon 4ever practically assures that the pocket monster movie franchise is nearly ready to keel over",0
for kids ( of all ages ) that like adventure,1
bibbidy-bobbidi-bland,0
ultimately the story compels,1
can find humor,1
is still charming,1
"does all of this , and more , while remaining one of the most savagely hilarious social critics this side of jonathan swift",1
amiable,1
cut their losses,0
especially fine,1
the best war movies ever made,1
elephant feces,0
"high crimes is a cinematic misdemeanor , a routine crime thriller remarkable only for its lack of logic and misuse of two fine actors , morgan freeman and ashley judd .",0
a pretty woman,1
ballsy,1
winning portrayal,1
humor and heart and,1
"no amount of imagination , no creature",0
"mr. murray , a prolific director of music videos",1
"a fascinating , dark thriller that keeps you",1
"even if you 've never heard of chaplin , you 'll still be glued to the screen .",1
delivered in grand passion by the members of the various households .,1
"for its lack of logic and misuse of two fine actors , morgan freeman and ashley judd",0
"preposterous , prurient whodunit",0
a fairly harmless but ultimately lifeless feature-length afterschool special .,0
an annoying orgy,0
this family film sequel is plenty of fun for all .,1
lethargically paced parable of renewal .,0
a laughable --,0
"very slow , uneventful",0
"creates an impeccable sense of place ,",1
of our making,1
an ultra-loud blast,1
more like the pilot episode of a tv series,0
"inspiring , ironic , and revelatory of just",1
many of these guys are less than adorable,0
"in that it is does not rely on dumb gags , anatomical humor , or character cliches",1
takes care,1
it squanders chan 's uniqueness ;,0
will just as likely make you weep,1
were paying dues for good books unread,0
addition to scoring high for originality of plot,1
but what is missing from it all is a moral .,0
neglects,0
amazingly evocative film,1
is a hoot,1
"the roundelay of partners functions , and the interplay within partnerships and among partnerships and the general air of gator-bashing are consistently delightful .",1
creeping into the second half,0
of elizabeth berkley 's flopping dolphin-gasm,0
does leblanc make one spectacularly ugly-looking broad,0
"has a delightfully dour , deadpan tone and stylistic consistency .",1
"seen in that light , moonlight mile should strike a nerve in many .",1
"is like a year late for tapping into our reality tv obsession , and even tardier for exploiting the novelty of the `` webcast . ''",0
effective,1
one of those films that started with a great premise and then just fell apart .,0
"judd 's characters ought to pick up the durable best seller smart women , foolish choices for advice .",0
grave,0
squeeze a few laughs,1
is so thoughtlessly assembled,0
see a movie that takes such a speedy swan dive from `` promising '' to `` interesting '',1
she 's never been better in this colorful bio-pic of a mexican icon,1
"is messy , uncouth , incomprehensible , vicious and absurd .",0
the finished product 's unshapely look,0
is too busy,0
"else who may , for whatever reason , be thinking about going to see this movie",0
takes your breath away,1
sexism to monday morning that undercuts its charm,0
bless crudup,1
pleasure,1
humorously,1
wreckage,0
"seems just as expectant of an adoring , wide-smiling reception .",1
have a case of masochism and an hour and a half,0
